sequence_of_nodes,cost
"-1,738,941,298,1298,1941,1738,-2",1749.5787771585615
"-1,339,933,503,1503,1339,1933,-2",1888.7939826996
"-1,674,871,870,1870,1871,1674,-2",1255.5256266813244
"-1,648,904,937,1648,1937,1904,-2",1401.0154741786646
"-1,382,3,148,1148,1382,1003,-2",969.2264619434392
"-1,65,452,328,1328,1065,1452,-2",1826.9961889406943
"-1,779,825,405,1779,1405,1825,-2",853.0468963002522
"-1,158,341,654,1158,1341,1654,-2",1279.2473749595254
"-1,791,673,719,1719,1673,1791,-2",1464.331347233799
"-1,8,434,498,1008,1434,1498,-2",1774.5564337862716
"-1,784,153,632,1632,1784,1153,-2",2017.3975153898507
"-1,203,139,112,1112,1203,1139,-2",1553.7873775893677
"-1,744,125,2,1744,1125,1002,-2",1658.2756841662642
"-1,689,232,730,1730,1689,1232,-2",1622.9836517614185
"-1,131,115,56,1115,1056,1131,-2",990.6492233288645
"-1,803,824,233,1824,1803,1233,-2",1897.363824693664
"-1,415,334,972,1415,1334,1972,-2",937.7014648032555
"-1,850,601,558,1558,1601,1850,-2",1056.779530033916
"-1,695,149,773,1695,1149,1773,-2",1735.0096643152938
"-1,19,40,521,1019,1521,1040,-2",2379.067471165544
"-1,120,804,966,1120,1804,1966,-2",1902.0651234897907
"-1,652,598,960,1960,1598,1652,-2",1557.2712216989303
"-1,25,133,535,1025,1535,1133,-2",1871.6501568555127
"-1,690,999,841,1999,1841,1690,-2",1214.594316088979
"-1,859,394,50,1050,1394,1859,-2",1555.2967920166263
"-1,587,447,504,1504,1587,1447,-2",2312.7090668443716
"-1,13,215,59,1013,1059,1215,-2",1590.6077049347678
"-1,774,199,218,1774,1199,1218,-2",1498.5504292227893
"-1,780,518,679,1679,1518,1780,-2",1160.8081068226875
"-1,742,548,605,1548,1742,1605,-2",1852.6854012939052
"-1,78,290,6,1006,1290,1078,-2",2971.0107838880413
"-1,833,250,314,1314,1250,1833,-2",2717.02188144672
"-1,812,302,284,1284,1302,1812,-2",2404.568801949933
"-1,303,460,87,1303,1460,1087,-2",1724.740306871831
"-1,101,634,234,1101,1634,1234,-2",2594.012357051907
"-1,16,770,655,1655,1770,1016,-2",1323.6959214334738
"-1,175,821,453,1175,1453,1821,-2",1423.5259719050491
"-1,372,542,510,1372,1510,1542,-2",1535.42839882272
"-1,477,467,457,1457,1477,1467,-2",1961.8669048919232
"-1,528,910,380,1380,1910,1528,-2",2752.05413513039
"-1,522,554,556,1556,1554,1522,-2",2210.503039370995
