         370323934 function calls (362937658 primitive calls) in 471.740 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       91    0.008    0.000    0.010    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\cg_rmp.py:240(_get_dual_values)
     5016    0.007    0.000    0.318    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:372(check_valid)
    47773    0.007    0.000    0.007    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:2374(_array_equal_dispatcher)
       59    0.007    0.000    9.395    0.159 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\apis\coin_api.py:110(actualSolve)
    12720    0.007    0.000    0.009    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:1300(keys)
      118    0.007    0.000    0.007    0.000 {built-in method nt._path_isdir}
      448    0.007    0.000    0.016    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\arrayprint.py:934(fillFormat)
       59    0.007    0.000    9.384    0.159 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\apis\coin_api.py:118(solve_CBC)
     4270    0.006    0.000    0.040    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:2836(min)
    85528    0.006    0.000    0.006    0.000 {built-in method builtins.abs}
    18762    0.006    0.000    0.009    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:1291(__iter__)
     3339    0.006    0.000    0.009    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:1030(__ge__)
      118    0.005    0.000    0.005    0.000 {built-in method nt._path_exists}
     3339    0.005    0.000    0.005    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:1644(unusedConstraintName)
     4399    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
     1011    0.005    0.000    0.322    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\pgm_approach.py:147(verify_feasibility)
      295    0.005    0.000    0.005    0.000 {built-in method _winapi.CloseHandle}
    45879    0.004    0.000    0.004    0.000 {built-in method builtins.id}
       59    0.004    0.000    0.008    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\subprocess.py:576(list2cmdline)
       59    0.004    0.000    0.241    0.004 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:1691(variables)
       38    0.004    0.000    0.004    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_eff_fronteir.py:14(__init__)
     9381    0.004    0.000    0.005    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:1306(items)
    10791    0.004    0.000    0.004    0.000 {method 'remove' of 'set' objects}
